HH|DECILE|ZONE_NBR|HOH_AGE|HH_INCOME|HH_SIZE|HH_ADULTS|HH_CHILDREN
1391737|1|1|64|45000|3|2|1
1509309|1|1|44|45000|3|2|1
1609342|1|1|71|45000|||
1666081|1|1|34|45000|1|1|0
1848750|1|1|34|45000|2|2|0
1861556|1|1|88|45000|2|2|0
1915120|1|1|31|45000|7|4|3
1930166|1|1|48|45000|3|3|0
1976066|1|1|71|45000|3|2|1
1990328|1|1|61|45000|4|2|2
2002572|1|1|68|45000|2|2|0
2049499|1|1|76|45000|2|2|0
2071254|1|1|66|45000|2|2|0
2084716|1|1|65|45000|2|2|0
2095544|1|1|58|45000|2|2|0
2153996|1|1|59|45000|7|5|2
2169338|1|1|69|45000|3|2|1
2185843|1|1|70|45000|4|3|1
2280877|1|1|40|45000|5|5|0
2331752|1|1|36|45000|3|2|1
2334061|1|1|36|45000|1|1|0
2401795|1|1|68|45000|2|2|0
2413328|1|1|58|45000|3|2|1
2497222|1|1|67|45000|3|2|1
2508370|1|1|43|45000|3|2|1
2579381|1|1|78|45000|2|2|0
2579425|1|1|56|45000|4|4|0
2885986|1|1|33|45000|1|1|0
2915739|1|1|38|45000|4|2|2
2967934|1|1|35|45000|1|1|0
3013472|1|1|36|45000|2|1|1
3188492|1|1|33|45000|6|5|2
3250367|1|1|32|45000|6|5|1
3403923|1|1|32|45000|2|2|0
3405308|1|1|58|45000|6|4|2
3541474|1|1|33|45000|7|6|2
3548310|1|1|39|45000|1|1|0
3651199|1|1|34|45000|3|2|1
3870106|1|1|33|45000|5|4|1
3961819|1|1|39|45000|2|2|1
4026023|1|1|46|45000|3|2|1
4047805|1|1|53|45000|4|2|2
4098048|1|1|26|45000|4|2|2
4103934|1|1|47|45000|4|3|1
4128719|1|1|58|45000|2|2|0
4130512|1|1|46|45000|1|1|0
4186023|1|1|28|45000|4|3|1
4196224|1|1|52|45000|4|3|1
4196928|1|1|51|45000|2|2|0
4230226|1|1|78|45000|2|2|0
4310933|1|1|52|45000|2|2|0
4358796|1|1|55|45000|4|3|1
4484260|1|1|41|45000|3|2|1
4542571|1|1|41|45000|1|1|0
4584122|1|1|52|45000|4|2|2
4594155|1|1|50|45000|5|3|2
4594249|1|1|58|45000|6|6|0
4602254|1|1|33|45000|1|1|0
4617370|1|1|43|45000|3|3|0
4650670|1|1|74|45000|2|2|0
4744339|1|1|41|45000|2|2|0
4840856|1|1|46|45000|6|3|4
5110137|1|1|38|45000|6|6|0
5136215|1|1|46|45000|3|3|0
5160108|1|1|34|45000|1|1|0
5205664|1|1|83|45000|4|4|0
5252679|1|1|66|45000|3|2|1
5256391|1|1|49|45000|2|1|1
5261674|1|1|70|45000|3|3|0
5267867|1|1|53|45000|2|2|0
5276044|1|1|58|45000|2|1|1
5348079|1|1|59|45000|7|6|1
5450207|1|1|44|45000|4|4|1
5454286|1|1|84|45000|2|2|0
5455048|1|1|42|45000|2|1|1
5496716|1|1|76|45000|3|3|0
5537672|1|1|61|45000|5|4|1
5556431|1|1|52|45000|5|2|3
5580260|1|1|39|45000|4|3|1
5752353|1|1|67|45000|3|3|2
5756056|1|1|62|45000|5|5|0
5759730|1|1|75|45000|2|2|0
5770600|1|1|68|45000|2|2|0
5775102|1|1|68|45000|6|5|1
5792065|1|1|67|45000|1|1|0
5803894|1|1|62|45000|4|4|0
5899361|1|1|69|45000|4|4|0
5942002|1|1|43|45000|4|4|0
6174642|1|1|56|45000|4|4|0
6217161|1|1|50|45000|1|1|0
6220355|1|1|61|45000|3|2|1
6255050|1|1|75|45000|2|2|0
6271256|1|1|54|45000|6|6|0
6296012|1|1|72|45000|2|2|0
6317490|1|1|76|45000|3|3|0
6366379|1|1|72|45000|2|2|0
6571371|1|1|36|45000|4|3|1
6655092|1|1|63|45000|3|3|0
6693746|1|1|49|45000|2|1|1
6892775|1|1|36|45000|2|2|0
6900436|1|1|37|45000|5|2|3
7013930|1|1|87|45000|||
7025299|1|1|39|45000|6|2|4
7033133|1|1|50|45000|8|5|3
7091952|1|1|78|45000|2|2|0
7206949|1|1|42|45000|3|2|1
7268098|1|1|28|45000|2|1|1
7336439|1|1|72|45000|2|2|0
7340119|1|1|64|45000|1|1|0
7341610|1|1|69|45000|2|2|0
7346613|1|1|59|45000|5|3|2
7368320|1|1|67|45000|4|4|0
7524189|1|1|46|45000|2|2|0
7579431|1|1|54|45000|3|3|0
7587809|1|1|40|45000|3|3|1
7620649|1|1|76|45000|2|1|1
7640050|1|1|61|45000|7|6|1
7666449|1|1|39|45000|4|2|2
7832053|1|1|58|45000|4|2|2
7849830|1|1|40|45000|3|2|1
7892402|1|1|37|45000|4|3|1
7893055|1|1|73|45000|2|2|0
7947277|1|1|43|45000|4|1|3
7978066|1|1|58|45000|3|3|0
7980619|1|1|30|45000|4|3|1
8136464|1|1|59|45000|4|3|1
8210648|1|1|31|45000|3|2|1
8237948|1|1|68|45000|3|3|0
8270784|1|1|43|45000|2|2|0
8322035|1|1|36|45000|5|2|3
8485284|1|1|73|45000|4|3|1
8583449|1|1|39|45000|2|2|0
8585126|1|1|39|45000|2|2|0
8629865|1|1||45000|||
8665046|1|1|43|45000|3|3|0
8687382|1|1|37|45000|5|4|1
8698882|1|1|41|45000|1|1|0
9050532|1|1|65|45000|2|2|0
9156512|1|1|38|45000|2|2|0
9191243|1|1|89|45000|2|2|0
9194720|1|1|75|45000|3|2|1
9196717|1|1|53|45000|6|3|3
9196742|1|1|54|45000|6|5|1
9453263|1|1|62|45000|3|3|1
9453795|1|1|79|45000|2|2|0
9507010|1|1|38|45000|1|1|0
9569908|1|1|36|45000|4|2|2
9830324|1|1|34|45000|1|1|0
9834808|1|1|34|45000|2|2|0
10868735|1|1|40|45000|7|3|4
11553764|1|1|41|45000|3|1|2
12251070|1|1|25|45000|2|2|0
14434147|1|1|79|45000|4|4|0
14440963|1|1|44|45000|4|3|1
2820|1|1|60|62500|2|2|0
54468|1|1|35|62500|5|4|1
64423|1|1|38|62500|3|2|1
72826|1|1|30|62500|5|4|3
118813|1|1|36|62500|6|3|3
131861|1|1|40|62500|2|2|0
199749|1|1|69|62500|3|3|0
234340|1|1|55|62500|3|2|1
238978|1|1|60|62500|5|4|1
261038|1|1|58|62500|2|2|0
299075|1|1|29|62500|2|2|0
300117|1|1|75|62500|2|2|0
305693|1|1|37|62500|3|2|1
310136|1|1|75|62500|2|2|0
310729|1|1|78|62500|2|2|0
315381|1|1|76|62500|4|4|0
316764|1|1|46|62500|6|5|1
319706|1|1|65|62500|6|6|2
332272|1|1|62|62500|3|2|1
347810|1|1||62500|2|1|1
361138|1|1|80|62500|3|2|1
386270|1|1|75|62500|6|5|1
386839|1|1|76|62500|2|2|0
387651|1|1|56|62500|5|4|1
394131|1|1|73|62500|2|2|0
398426|1|1|46|62500|1|1|0
417038|1|1|43|62500|4|3|1
424270|1|1|54|62500|4|3|1
446131|1|1|32|62500|3|2|1
463260|1|1|75|62500|5|5|0
468354|1|1|78|62500|3|3|0
488664|1|1|60|62500|4|4|0
515728|1|1|74|62500|4|4|1
533210|1|1|60|62500|3|2|1
556331|1|1|47|62500|3|2|1
577038|1|1|34|62500|3|2|1
578402|1|1|65|62500|3|2|1
601432|1|1|69|62500|3|3|0
601661|1|1|61|62500|3|3|0
624973|1|1|46|62500|2|1|1
628487|1|1|56|62500|2|2|0
649542|1|1|70|62500|5|5|0
658561|1|1|59|62500|3|3|0
673317|1|1|30|62500|3|2|2
688930|1|1|51|62500|3|2|1
700459|1|1|64|62500|2|1|1
741745|1|1|34|62500|7|5|2
747364|1|1|66|62500|4|4|1
769285|1|1|57|62500|4|3|1
842071|1|1|48|62500|1|1|0
847240|1|1|48|62500|4|2|2
882806|1|1|62|62500|6|6|0
889600|1|1|34|62500|2|1|1
900332|1|1|66|62500|2|2|0
900341|1|1|69|62500|3|3|0
902782|1|1|59|62500|2|1|1
913258|1|1|53|62500|7|3|4
919041|1|1|57|62500|3|2|1
921721|1|1|42|62500|2|2|0
943027|1|1|42|62500|6|6|0
943325|1|1|60|62500|3|3|0
960065|1|1|48|62500|4|2|2
969255|1|1|43|62500|6|3|3
980352|1|1|69|62500|4|3|1
984335|1|1|56|62500|6|6|0
996986|1|1|67|62500|2|2|0
1048675|1|1|47|62500|7|4|3
1056932|1|1|33|62500|2|2|0
1061075|1|1|59|62500|5|4|1
1061222|1|1|70|62500|3|3|0
1076328|1|1|81|62500|4|3|1
1077127|1|1|28|62500|1|1|0
1095732|1|1|63|62500|2|2|0
1115067|1|1|29|62500|5|4|1
1139579|1|1|37|62500|3|1|2
1188010|1|1|31|62500|5|4|1
1200321|1|1|78|62500|3|2|1
1201857|1|1|68|62500|3|3|0
1211488|1|1|45|62500|4|2|2
1226319|1|1|67|62500|3|2|1
1231364|1|1|69|62500|3|3|0
1263725|1|1|44|62500|2|2|0
1273609|1|1|56|62500|4|4|0
1275602|1|1|55|62500|6|6|1
1300708|1|1|36|62500|6|4|2
1300953|1|1|66|62500|3|3|0
1324255|1|1|69|62500|3|2|1
1341365|1|1|66|62500|4|4|0
